Latitude,Longitude
-38.742,176.058
-38.742,176.059
-38.742,176.059
-38.742,176.060
-38.742,176.061
-38.742,176.061
-38.742,176.062
-38.742,176.063
-38.742,176.063
-38.742,176.064
-38.742,176.065
-38.742,176.065
-38.742,176.066
-38.742,176.067
-38.742,176.067
-38.742,176.068
-38.742,176.069
-38.742,176.069
-38.742,176.070
-38.742,176.071
-38.742,176.071
-38.742,176.072
-38.742,176.073
-38.742,176.073
-38.742,176.074
-38.742,176.075
-38.742,176.075
-38.742,176.076
-38.742,176.077
-38.742,176.077
-38.742,176.078
-38.742,176.079
-38.742,176.080
-38.742,176.080
-38.742,176.081
-38.742,176.082
-38.742,176.082
-38.742,176.083
-38.742,176.084
-38.742,176.084
-38.742,176.085
-38.742,176.086
-38.742,176.086
-38.742,176.087
-38.742,176.088
-38.741,176.088
-38.741,176.089
-38.741,176.090
-38.741,176.090
-38.741,176.091
-38.741,176.092
-38.741,176.092
-38.741,176.093
-38.741,176.094
-38.741,176.094
-38.741,176.095
-38.741,176.096
-38.741,176.096
-38.741,176.097
-38.741,176.098
-38.741,176.098
-38.741,176.099
-38.741,176.100
-38.741,176.100
-38.741,176.101
-38.741,176.102
-38.741,176.102
-38.741,176.103
-38.741,176.104
-38.741,176.104
-38.741,176.105
-38.741,176.106
-38.741,176.106
-38.741,176.107
-38.741,176.108
-38.741,176.108
-38.741,176.109
-38.741,176.110
-38.741,176.110
-38.741,176.111
-38.741,176.112
-38.741,176.112
-38.741,176.113
-38.741,176.114
-38.741,176.114
-38.741,176.115
-38.741,176.116
-38.741,176.117
-38.741,176.117
-38.741,176.118
-38.741,176.119
-38.741,176.119
-38.741,176.120
-38.741,176.121
-38.741,176.121
-38.741,176.122
-38.741,176.123
-38.741,176.123
-38.741,176.124
-38.740,176.125
-38.740,176.125
-38.740,176.126
-38.740,176.127
-38.740,176.127
-38.740,176.128
-38.740,176.129
-38.740,176.129
-38.740,176.130
-38.740,176.131
-38.740,176.131
-38.740,176.132
-38.740,176.133
-38.740,176.133
-38.740,176.134
-38.740,176.135
-38.740,176.135
-38.740,176.136
-38.740,176.137
-38.740,176.137
-38.740,176.138
-38.740,176.139
-38.740,176.139
-38.740,176.140
-38.740,176.141
-38.740,176.141
-38.740,176.142
-38.740,176.143
-38.740,176.143
-38.740,176.144
-38.740,176.145
-38.740,176.145
-38.740,176.146
-38.740,176.147
-38.740,176.147
-38.740,176.148
-38.740,176.149
-38.740,176.149
-38.740,176.150
-38.740,176.151
-38.740,176.151
-38.740,176.152
-38.740,176.153
-38.740,176.154
-38.740,176.154
-38.740,176.155
-38.740,176.156
-38.740,176.156
-38.740,176.157
-38.740,176.158
-38.740,176.158
-38.740,176.159
-38.740,176.160
-38.740,176.160
-38.739,176.161
-38.739,176.162
-38.739,176.162
-38.739,176.163
-38.739,176.164
-38.739,176.164
-38.739,176.165
-38.739,176.166
-38.739,176.166
-38.739,176.167
-38.739,176.168
-38.739,176.168
-38.739,176.169
-38.739,176.170
-38.739,176.170
-38.739,176.171
-38.739,176.172
-38.739,176.172
-38.739,176.173
-38.739,176.174
-38.739,176.174
-38.739,176.175
-38.739,176.176
-38.739,176.176
-38.739,176.177
-38.739,176.178
-38.739,176.178
-38.739,176.179
-38.739,176.180
-38.739,176.180
-38.739,176.181
-38.739,176.182
-38.739,176.182
-38.739,176.183
-38.739,176.184
-38.739,176.184
-38.739,176.185
-38.739,176.186
-38.739,176.186
-38.739,176.187
-38.739,176.188
-38.739,176.188
-38.739,176.189
-38.739,176.190
-38.739,176.191
-38.739,176.191
-38.739,176.192
-38.739,176.193
-38.739,176.193
-38.739,176.194
-38.739,176.195
-38.739,176.195
-38.739,176.196
-38.738,176.197
-38.738,176.197
-38.738,176.198
-38.738,176.199
-38.738,176.199
-38.738,176.200
-38.738,176.201
-38.738,176.201
-38.738,176.202
-38.738,176.203
-38.738,176.203
-38.738,176.204
-38.738,176.205
-38.738,176.205
-38.738,176.206
-38.738,176.207
-38.738,176.207
-38.738,176.208
-38.738,176.209
-38.738,176.209
-38.738,176.210
-38.738,176.211
-38.738,176.211
-38.738,176.212
-38.738,176.213
-38.738,176.213
-38.738,176.214
-38.738,176.215
-38.738,176.215
-38.738,176.216
-38.738,176.217
-38.738,176.217
-38.738,176.218
-38.738,176.219
-38.738,176.219
-38.738,176.220
-38.738,176.221
-38.738,176.221
-38.738,176.222
-38.738,176.223
-38.738,176.223
-38.738,176.224
-38.738,176.225
-38.738,176.225
-38.738,176.226
-38.738,176.227
-38.738,176.228
-38.738,176.228
-38.738,176.229
-38.738,176.230
-38.738,176.230
-38.738,176.231
-38.738,176.232
-38.737,176.232
-38.737,176.233
-38.737,176.234
-38.737,176.234
-38.737,176.235
-38.737,176.236
-38.737,176.236
-38.737,176.237
-38.737,176.238
-38.737,176.238
-38.737,176.239
-38.737,176.240
-38.737,176.240
-38.737,176.241
-38.737,176.242
-38.737,176.242
-38.737,176.243
-38.737,176.244
-38.737,176.244
-38.737,176.245
-38.737,176.246
-38.737,176.246
-38.737,176.247
-38.737,176.248
-38.737,176.248
-38.737,176.249
-38.737,176.250
-38.737,176.250
-38.737,176.251
-38.737,176.252
-38.737,176.252
-38.737,176.253
-38.737,176.254
-38.737,176.254
-38.737,176.255
-38.737,176.256
-38.737,176.256
-38.737,176.257
-38.737,176.258
-38.737,176.258
-38.737,176.259
-38.737,176.260
-38.737,176.260
-38.737,176.261
-38.737,176.262
-38.737,176.262
-38.737,176.263
-38.737,176.264
-38.737,176.264
-38.737,176.265
-38.737,176.266
-38.737,176.267
-38.736,176.267
-38.736,176.268
-38.736,176.269
-38.746,175.948
-38.746,175.949
-38.746,175.950
-38.746,175.950
-38.746,175.951
-38.746,175.952
-38.746,175.952
-38.746,175.953
-38.746,175.954
-38.746,175.954
-38.746,175.955
-38.746,175.956
-38.746,175.956
-38.746,175.957
-38.745,175.958
-38.745,175.958
-38.745,175.959
-38.745,175.960
-38.745,175.960
-38.745,175.961
-38.745,175.962
-38.745,175.962
-38.745,175.963
-38.745,175.964
-38.745,175.964
-38.745,175.965
-38.745,175.966
-38.745,175.967
-38.745,175.967
-38.745,175.968
-38.745,175.969
-38.745,175.969
-38.745,175.970
-38.745,175.971
-38.745,175.971
-38.745,175.972
-38.745,175.973
-38.745,175.973
-38.745,175.974
-38.745,175.975
-38.745,175.975
-38.745,175.976
-38.745,175.977
-38.745,175.977
-38.745,175.978
-38.745,175.979
-38.745,175.979
-38.745,175.980
-38.745,175.981
-38.745,175.981
-38.745,175.982
-38.745,175.983
-38.745,175.983
-38.745,175.984
-38.745,175.985
-38.745,175.985
-38.745,175.986
-38.745,175.987
-38.745,175.987
-38.745,175.988
-38.745,175.989
-38.745,175.989
-38.745,175.990
-38.745,175.991
-38.745,175.991
-38.745,175.992
-38.745,175.993
-38.745,175.993
-38.745,175.994
-38.745,175.995
-38.745,175.995
-38.744,175.996
-38.744,175.997
-38.744,175.997
-38.744,175.998
-38.744,175.999
-38.744,175.999
-38.744,176.000
-38.744,176.001
-38.744,176.001
-38.744,176.002
-38.744,176.003
-38.744,176.004
-38.744,176.004
-38.744,176.005
-38.744,176.006
-38.744,176.006
-38.744,176.007
-38.744,176.008
-38.744,176.008
-38.744,176.009
-38.744,176.010
-38.744,176.010
-38.744,176.011
-38.744,176.012
-38.744,176.012
-38.744,176.013
-38.744,176.014
-38.744,176.014
-38.744,176.015
-38.744,176.016
-38.744,176.016
-38.744,176.017
-38.744,176.018
-38.744,176.018
-38.744,176.019
-38.744,176.020
-38.744,176.020
-38.744,176.021
-38.744,176.022
-38.744,176.022
-38.744,176.023
-38.744,176.024
-38.744,176.024
-38.744,176.025
-38.744,176.026
-38.744,176.026
-38.744,176.027
-38.744,176.028
-38.744,176.028
-38.744,176.029
-38.744,176.030
-38.744,176.030
-38.744,176.031
-38.744,176.032
-38.744,176.032
-38.744,176.033
-38.743,176.034
-38.743,176.034
-38.743,176.035
-38.743,176.036
-38.743,176.036
-38.743,176.037
-38.743,176.038
-38.743,176.038
-38.743,176.039
-38.743,176.040
-38.743,176.041
-38.743,176.041
-38.743,176.042
-38.743,176.043
-38.743,176.043
-38.743,176.044
-38.743,176.045
-38.743,176.045
-38.743,176.046
-38.743,176.047
-38.743,176.047
-38.743,176.048
-38.743,176.049
-38.743,176.049
-38.743,176.050
-38.743,176.051
-38.743,176.051
-38.743,176.052
-38.743,176.053
-38.743,176.053
-38.743,176.054
-38.743,176.055
-38.743,176.055
-38.743,176.056
-38.743,176.057
-38.743,176.057
-38.743,176.058
-38.743,176.059
-38.743,176.059
-38.743,176.060
-38.743,176.061
-38.743,176.061
-38.743,176.062
-38.743,176.063
-38.743,176.063
-38.743,176.064
-38.743,176.065
-38.743,176.065
-38.743,176.066
-38.743,176.067
-38.743,176.067
-38.743,176.068
-38.743,176.069
-38.743,176.069
-38.743,176.070
-38.742,176.071
-38.742,176.071
-38.742,176.072
-38.742,176.073
-38.742,176.073
-38.742,176.074
-38.742,176.075
-38.742,176.075
-38.742,176.076
-38.742,176.077
-38.742,176.078
-38.742,176.078
-38.742,176.079
-38.742,176.080
-38.742,176.080
-38.742,176.081
-38.742,176.082
-38.742,176.082
-38.742,176.083
-38.742,176.084
-38.742,176.084
-38.742,176.085
-38.742,176.086
-38.742,176.086
-38.742,176.087
-38.742,176.088
-38.742,176.088
-38.742,176.089
-38.742,176.090
-38.742,176.090
-38.742,176.091
-38.742,176.092
-38.742,176.092
-38.742,176.093
-38.742,176.094
-38.742,176.094
-38.742,176.095
-38.742,176.096
-38.742,176.096
-38.742,176.097
-38.742,176.098
-38.742,176.098
-38.742,176.099
-38.742,176.100
-38.742,176.100
-38.742,176.101
-38.742,176.102
-38.742,176.102
-38.742,176.103
-38.742,176.104
-38.742,176.104
-38.742,176.105
-38.742,176.106
-38.742,176.106
-38.742,176.107
-38.741,176.108
-38.741,176.108
-38.741,176.109
-38.741,176.110
-38.741,176.110
-38.741,176.111
-38.741,176.112
-38.741,176.112
-38.741,176.113
-38.741,176.114
-38.741,176.115
-38.741,176.115
-38.741,176.116
-38.741,176.117
-38.741,176.117
-38.741,176.118
-38.741,176.119
-38.741,176.119
-38.741,176.120
-38.741,176.121
-38.741,176.121
-38.741,176.122
-38.741,176.123
-38.741,176.123
-38.741,176.124
-38.741,176.125
-38.741,176.125
-38.741,176.126
-38.741,176.127
-38.741,176.127
-38.741,176.128
-38.741,176.129
-38.741,176.129
-38.741,176.130
-38.741,176.131
-38.741,176.131
-38.741,176.132
-38.741,176.133
-38.741,176.133
-38.741,176.134
-38.741,176.135
-38.741,176.135
-38.741,176.136
-38.741,176.137
-38.741,176.137
-38.741,176.138
-38.741,176.139
-38.741,176.139
-38.741,176.140
-38.741,176.141
-38.741,176.141
-38.741,176.142
-38.741,176.143
-38.741,176.143
-38.740,176.144
-38.740,176.145
-38.740,176.145
-38.740,176.146
-38.740,176.147
-38.740,176.147
-38.740,176.148
-38.740,176.149
-38.740,176.149
-38.740,176.150
-38.740,176.151
-38.740,176.152
-38.740,176.152
-38.740,176.153
-38.740,176.154
-38.740,176.154
-38.740,176.155
-38.740,176.156
-38.740,176.156
-38.740,176.157
-38.740,176.158
-38.740,176.158
-38.740,176.159
-38.740,176.160
-38.740,176.160
-38.740,176.161
-38.740,176.162
-38.740,176.162
-38.740,176.163
-38.740,176.164
-38.740,176.164
-38.740,176.165
-38.740,176.166
-38.740,176.166
-38.740,176.167
-38.740,176.168
-38.740,176.168
-38.740,176.169
-38.740,176.170
-38.740,176.170
-38.740,176.171
-38.740,176.172
-38.740,176.172
-38.740,176.173
-38.740,176.174
-38.740,176.174
-38.740,176.175
-38.740,176.176
-38.740,176.176
-38.740,176.177
-38.740,176.178
-38.740,176.178
-38.740,176.179
-38.739,176.180
-38.739,176.180
-38.739,176.181
-38.739,176.182
-38.739,176.182
-38.739,176.183
-38.739,176.184
-38.739,176.184
-38.739,176.185
-38.739,176.186
-38.739,176.186
-38.739,176.187
-38.739,176.188
-38.739,176.189
-38.739,176.189
-38.739,176.190
-38.739,176.191
-38.739,176.191
-38.739,176.192
-38.739,176.193
-38.739,176.193
-38.739,176.194
-38.739,176.195
-38.739,176.195
-38.739,176.196
-38.739,176.197
-38.739,176.197
-38.739,176.198
-38.739,176.199
-38.739,176.199
-38.739,176.200
-38.739,176.201
-38.739,176.201
-38.739,176.202
-38.739,176.203
-38.739,176.203
-38.739,176.204
-38.739,176.205
-38.739,176.205
-38.739,176.206
-38.739,176.207
-38.739,176.207
-38.739,176.208
-38.739,176.209
-38.739,176.209
-38.739,176.210
-38.739,176.211
-38.739,176.211
-38.739,176.212
-38.739,176.213
-38.739,176.213
-38.739,176.214
-38.739,176.215
-38.738,176.215
-38.738,176.216
-38.738,176.217
-38.738,176.217
-38.738,176.218
-38.738,176.219
-38.738,176.219
-38.738,176.220
-38.738,176.221
-38.738,176.221
-38.738,176.222
-38.738,176.223
-38.738,176.223
-38.738,176.224
-38.738,176.225
-38.738,176.226
-38.738,176.226
-38.738,176.227
-38.738,176.228
-38.738,176.228
-38.738,176.229
-38.738,176.230
-38.738,176.230
-38.738,176.231
-38.738,176.232
-38.738,176.232
-38.738,176.233
-38.738,176.234
-38.738,176.234
-38.738,176.235
-38.738,176.236
-38.738,176.236
-38.738,176.237
-38.738,176.238
-38.738,176.238
-38.738,176.239
-38.738,176.240
-38.738,176.240
-38.738,176.241
-38.738,176.242
-38.738,176.242
-38.738,176.243
-38.738,176.244
-38.738,176.244
-38.738,176.245
-38.738,176.246
-38.738,176.246
-38.738,176.247
-38.738,176.248
-38.738,176.248
-38.738,176.249
-38.738,176.250
-38.737,176.250
-38.737,176.251
-38.737,176.252
-38.737,176.252
-38.737,176.253
-38.737,176.254
-38.737,176.254
-38.737,176.255
-38.737,176.256
-38.737,176.256
-38.737,176.257
-38.737,176.258
-38.737,176.258
-38.737,176.259
-38.737,176.260
-38.737,176.260
-38.737,176.261
-38.737,176.262
-38.737,176.263
-38.737,176.263
-38.737,176.264
-38.737,176.265
-38.737,176.265
-38.737,176.266
-38.737,176.267
-38.737,176.267
-38.737,176.268
-38.737,176.269
-38.746,175.948
-38.746,175.949
-38.746,175.950
-38.746,175.950
-38.746,175.951
-38.746,175.952
-38.746,175.952
-38.746,175.953
-38.746,175.954
-38.746,175.954
-38.746,175.955
-38.746,175.956
-38.746,175.956
-38.746,175.957
-38.746,175.958
-38.746,175.958
-38.746,175.959
-38.746,175.960
-38.746,175.960
-38.746,175.961
-38.746,175.962
-38.746,175.962
-38.746,175.963
-38.746,175.964
-38.746,175.965
-38.746,175.965
-38.746,175.966
-38.746,175.967
-38.746,175.967
-38.746,175.968
-38.746,175.969
-38.746,175.969
-38.746,175.970
-38.746,175.971
-38.746,175.971
-38.746,175.972
-38.746,175.973
-38.746,175.973
-38.746,175.974
-38.746,175.975
-38.746,175.975
-38.746,175.976
-38.746,175.977
-38.746,175.977
-38.745,175.978
-38.745,175.979
-38.745,175.979
-38.745,175.980
-38.745,175.981
-38.745,175.981
-38.745,175.982
-38.745,175.983
-38.745,175.983
-38.745,175.984
-38.745,175.985
-38.745,175.985
-38.745,175.986
-38.745,175.987
-38.745,175.987
-38.745,175.988
-38.745,175.989
-38.745,175.989
-38.745,175.990
-38.745,175.991
-38.745,175.991
-38.745,175.992
-38.745,175.993
-38.745,175.993
-38.745,175.994
-38.745,175.995
-38.745,175.995
-38.745,175.996
-38.745,175.997
-38.745,175.997
-38.745,175.998
-38.745,175.999
-38.745,176.000
-38.745,176.000
-38.745,176.001
-38.745,176.002
-38.745,176.002
-38.745,176.003
-38.745,176.004
-38.745,176.004
-38.745,176.005
-38.745,176.006
-38.745,176.006
-38.745,176.007
-38.745,176.008
-38.745,176.008
-38.745,176.009
-38.745,176.010
-38.745,176.010
-38.745,176.011
-38.745,176.012
-38.745,176.012
-38.745,176.013
-38.745,176.014
-38.745,176.014
-38.745,176.015
-38.744,176.016
-38.744,176.016
-38.744,176.017
-38.744,176.018
-38.744,176.018
-38.744,176.019
-38.744,176.020
-38.744,176.020
-38.744,176.021
-38.744,176.022
-38.744,176.022
-38.744,176.023
-38.744,176.024
-38.744,176.024
-38.744,176.025
-38.744,176.026
-38.744,176.026
-38.744,176.027
-38.744,176.028
-38.744,176.028
-38.744,176.029
-38.744,176.030
-38.744,176.030
-38.744,176.031
-38.744,176.032
-38.744,176.032
-38.744,176.033
-38.744,176.034
-38.744,176.034
-38.744,176.035
-38.744,176.036
-38.744,176.037
-38.744,176.037
-38.744,176.038
-38.744,176.039
-38.744,176.039
-38.744,176.040
-38.744,176.041
-38.744,176.041
-38.744,176.042
-38.744,176.043
-38.744,176.043
-38.744,176.044
-38.744,176.045
-38.744,176.045
-38.744,176.046
-38.744,176.047
-38.744,176.047
-38.744,176.048
-38.744,176.049
-38.744,176.049
-38.744,176.050
-38.744,176.051
-38.744,176.051
-38.744,176.052
-38.744,176.053
-38.743,176.053
-38.743,176.054
-38.743,176.055
-38.743,176.055
-38.743,176.056
-38.743,176.057
-38.743,176.057
-38.743,176.058
-38.743,176.059
-38.743,176.059
-38.743,176.060
-38.743,176.061
-38.743,176.061
-38.743,176.062
-38.743,176.063
-38.743,176.063
-38.743,176.064
-38.743,176.065
-38.743,176.065
-38.743,176.066
-38.743,176.067
-38.743,176.067
-38.743,176.068
-38.743,176.069
-38.743,176.069
-38.743,176.070
-38.743,176.071
-38.743,176.071
-38.743,176.072
-38.743,176.073
-38.743,176.074
-38.743,176.074
-38.743,176.075
-38.743,176.076
-38.743,176.076
-38.743,176.077
-38.743,176.078
-38.743,176.078
-38.743,176.079
-38.743,176.080
