lat_dec, lon_dec, elev [m] 
-38.612,176.166,315.13
-38.610,176.233,321.88
-38.617,175.980,520.73
-38.615,176.047,515.25
-38.614,176.114,370.89
-38.612,176.181,310.27
-38.610,176.248,314.92
-38.617,175.995,572.70
-38.616,176.063,480.00
-38.614,176.130,358.30
-38.612,176.197,327.74
-38.619,175.944,522.17
-38.618,176.011,559.70
-38.616,176.078,453.36
-38.614,176.145,355.26
-38.612,176.212,335.97
-38.619,175.959,531.67
-38.618,176.026,542.64
-38.616,176.093,392.03
-38.614,176.161,321.46
-38.612,176.228,335.81
-38.620,175.975,510.11
-38.618,176.042,509.33
-38.616,176.109,376.53
-38.614,176.176,301.39
-38.612,176.243,321.20
-38.620,175.990,565.94
-38.618,176.057,509.57
-38.616,176.124,332.00
-38.614,176.192,332.72
-38.620,176.006,582.47
-38.618,176.073,444.39
-38.616,176.140,360.87
-38.614,176.207,325.31
-38.622,175.954,514.98
-38.620,176.021,541.73
-38.618,176.088,366.39
-38.616,176.155,333.01
-38.614,176.222,367.98
-38.622,175.969,504.63
-38.620,176.036,516.87
-38.618,176.104,398.59
-38.616,176.171,309.86
-38.614,176.238,324.50
-38.622,175.985,562.28
-38.620,176.052,516.54
-38.618,176.119,340.00
-38.616,176.186,339.85
-38.615,176.253,311.36
-38.622,176.000,600.22
-38.620,176.067,471.23
-38.618,176.135,332.00
-38.617,176.202,361.93
-38.624,175.949,465.03
-38.622,176.016,558.55
-38.620,176.083,403.67
-38.618,176.150,356.60
-38.617,176.217,377.13
-38.624,175.964,514.23
-38.622,176.031,520.61
-38.620,176.098,381.00
-38.619,176.166,329.11
-38.617,176.233,322.84
-38.624,175.980,539.35
-38.622,176.047,520.03
-38.621,176.114,348.49
-38.619,176.181,346.23
-38.617,176.248,321.74
-38.624,175.995,592.68
-38.622,176.062,512.61
-38.621,176.129,363.21
-38.619,176.196,363.69
-38.626,175.943,459.24
-38.624,176.010,582.41
-38.623,176.078,399.79
-38.621,176.145,364.96
-38.619,176.212,381.21
-38.626,175.959,492.79
-38.624,176.026,531.28
-38.623,176.093,367.66
-38.621,176.160,335.79
-38.619,176.227,318.33
-38.626,175.974,499.35
-38.625,176.041,529.34
-38.623,176.109,351.58
-38.621,176.176,349.77
-38.619,176.243,299.95
-38.627,175.990,579.25
-38.625,176.057,533.62
-38.623,176.124,363.67
-38.621,176.191,361.35
-38.627,176.005,598.53
-38.625,176.072,419.12
-38.623,176.139,386.31
-38.621,176.207,361.36
-38.629,175.953,520.75
-38.627,176.021,541.13
-38.625,176.088,376.78
-38.623,176.155,355.25
-38.621,176.222,345.27
-38.629,175.969,481.76
-38.627,176.036,545.10
-38.625,176.103,353.53
-38.623,176.170,358.64
-38.621,176.238,308.50
-38.629,175.984,559.90
-38.627,176.052,539.43
-38.625,176.119,343.58
-38.623,176.186,359.21
-38.621,176.253,305.88
-38.629,176.000,599.90
-38.627,176.067,438.24
-38.625,176.134,400.83
-38.623,176.201,343.83
-38.631,175.948,491.44
-38.629,176.015,561.32
-38.627,176.083,402.29
-38.625,176.150,371.12
-38.623,176.217,347.78
-38.631,175.964,495.99
-38.629,176.031,549.45
-38.627,176.098,360.06
-38.625,176.165,399.04
-38.624,176.232,315.29
-38.631,175.979,502.43
-38.629,176.046,519.02
-38.627,176.113,357.91
-38.626,176.181,342.65
-38.624,176.248,323.65
-38.631,175.995,579.16
-38.629,176.062,479.81
-38.627,176.129,403.35
-38.626,176.196,347.36
-38.631,176.010,571.55
-38.629,176.077,480.10
-38.628,176.144,385.45
-38.626,176.212,358.00
-38.633,175.958,475.00
-38.631,176.026,531.55
-38.630,176.093,377.82
-38.628,176.160,387.45
-38.626,176.227,319.62
-38.633,175.974,529.14
-38.631,176.041,545.34
-38.630,176.108,367.43
-38.628,176.175,358.60
-38.626,176.243,319.56
-38.633,175.989,562.90
-38.632,176.056,506.20
-38.630,176.124,388.51
-38.628,176.191,335.56
-38.633,176.005,592.68
-38.632,176.072,454.32
-38.630,176.139,415.78
-38.628,176.206,345.62
-38.635,175.953,457.37
-38.634,176.020,546.48
-38.632,176.087,408.42
-38.630,176.155,409.58
-38.628,176.222,320.01
-38.636,175.969,502.94
-38.634,176.036,516.88
-38.632,176.103,375.36
-38.630,176.170,390.50
-38.628,176.237,318.97
-38.636,175.984,584.11
-38.634,176.051,501.45
-38.632,176.118,457.31
-38.630,176.186,336.00
-38.628,176.253,313.51
-38.636,176.000,621.31
-38.634,176.067,470.29
-38.632,176.134,449.82
-38.630,176.201,368.31
-38.638,175.948,448.23
-38.636,176.015,573.47
-38.634,176.082,404.91
-38.632,176.149,426.91
-38.630,176.216,323.20
-38.638,175.963,479.03
-38.636,176.030,500.54
-38.634,176.098,341.66
-38.632,176.165,413.36
-38.630,176.232,322.08
-38.638,175.979,599.09
-38.636,176.046,526.54
-38.634,176.113,440.46
-38.632,176.180,336.08
-38.631,176.247,341.97
-38.638,175.994,625.35
-38.636,176.061,467.98
-38.634,176.129,438.98
-38.632,176.196,359.89
-38.638,176.010,587.34
-38.636,176.077,404.57
-38.634,176.144,417.42
-38.633,176.211,332.31
-38.640,175.958,461.34
-38.638,176.025,504.07
-38.636,176.092,381.56
-38.635,176.160,436.21
-38.633,176.227,326.90
-38.640,175.973,558.72
-38.638,176.041,490.82
-38.637,176.108,441.43
-38.635,176.175,353.80
-38.633,176.242,361.53
-38.640,175.989,622.98
-38.638,176.056,485.82
-38.637,176.123,447.61
-38.635,176.190,339.89
-38.640,176.004,620.43
-38.639,176.072,421.15
-38.637,176.139,456.94
-38.635,176.206,344.41
-38.642,175.953,461.78
-38.640,176.020,558.63
-38.639,176.087,390.39
-38.637,176.154,456.32
-38.635,176.221,336.30
-38.642,175.968,596.74
-38.641,176.035,489.80
-38.639,176.103,402.57
-38.637,176.170,397.47
-38.635,176.237,347.97
-38.642,175.984,613.11
-38.641,176.051,480.53
-38.639,176.118,479.00
-38.637,176.185,339.13
-38.635,176.252,321.29
-38.643,175.999,619.98
-38.641,176.066,505.21
-38.639,176.133,478.77
-38.637,176.201,358.09
-38.644,175.947,470.02
-38.643,176.015,594.39
-38.641,176.082,399.67
-38.639,176.149,451.78
-38.637,176.216,322.89
-38.645,175.963,596.06
-38.643,176.030,498.15
-38.641,176.097,394.17
-38.639,176.164,412.69
-38.637,176.232,329.55
-38.645,175.978,594.02
-38.643,176.046,462.63
-38.641,176.113,484.30
-38.639,176.180,343.63
-38.637,176.247,329.01
-38.645,175.994,603.10
-38.643,176.061,456.95
-38.641,176.128,473.37
-38.639,176.195,363.83
-38.645,176.009,618.09
-38.643,176.077,421.21
-38.641,176.144,472.15
-38.639,176.211,341.62
-38.647,175.958,462.30
-38.645,176.025,542.71
-38.643,176.092,340.12
-38.641,176.159,441.41
-38.640,176.226,333.88
-38.647,175.973,600.19
-38.645,176.040,563.51
-38.643,176.107,425.10
-38.642,176.175,387.40
-38.640,176.242,354.87
-38.647,175.989,581.08
-38.645,176.056,445.82
-38.643,176.123,466.40
-38.642,176.190,379.83
-38.647,176.004,603.30
-38.645,176.071,451.07
-38.644,176.138,479.48
-38.642,176.206,359.31
-38.649,175.952,569.14
-38.647,176.020,578.63
-38.646,176.087,396.83
-38.644,176.154,458.41
-38.642,176.221,332.10
-38.649,175.968,604.46
-38.647,176.035,601.65
-38.646,176.102,405.08
-38.644,176.169,420.79
-38.642,176.237,394.05
-38.649,175.983,610.03
-38.648,176.050,526.58
-38.646,176.118,490.93
-38.644,176.185,390.53
-38.642,176.252,330.31
-38.649,175.999,586.54
-38.648,176.066,436.45
-38.646,176.133,481.86
-38.644,176.200,365.62
-38.651,175.947,503.31
-38.650,176.014,558.99
-38.648,176.081,404.86
-38.646,176.149,468.24
-38.644,176.216,335.96
-38.651,175.963,573.87
-38.650,176.030,560.12
-38.648,176.097,404.85
-38.646,176.164,435.48
