# lat	lon	mean_z1	std_z1	mean_z2	std_z2
176.2184	-38.6774	291.37	450.65	349.63	491.45
176.2342	-38.6774	290.20	516.99	355.55	559.77
176.2500	-38.6774	288.92	579.21	358.19	622.98
175.9500	-38.6658	264.98	547.15	316.09	580.22
175.9658	-38.6658	264.46	493.28	312.07	525.10
175.9816	-38.6658	263.83	440.33	307.11	470.58
175.9974	-38.6658	263.18	388.65	300.58	416.75
176.0132	-38.6658	263.81	337.69	289.04	361.36
176.0289	-38.6658	262.29	289.73	274.52	308.13
176.0447	-38.6658	255.06	244.12	269.60	266.89
176.0605	-38.6658	269.37	204.27	280.94	235.42
176.0763	-38.6658	225.49	203.32	319.06	248.04
176.0921	-38.6658	204.88	192.09	338.54	245.24
176.1079	-38.6658	227.36	207.95	377.41	266.43
176.1237	-38.6658	255.53	210.56	408.23	276.96
176.1395	-38.6658	282.93	238.16	394.42	297.89
176.1553	-38.6658	291.86	235.89	383.44	289.69
176.1711	-38.6658	282.76	239.87	368.23	287.46
176.1868	-38.6658	294.78	328.75	364.73	373.60
176.2026	-38.6658	299.13	381.15	343.74	420.13
176.2184	-38.6658	297.45	438.72	340.98	476.72
176.2342	-38.6658	293.56	510.25	352.13	552.24
176.2500	-38.6658	291.11	573.86	355.94	617.24
175.9500	-38.6542	265.09	535.71	311.95	567.58
175.9658	-38.6542	264.92	479.29	306.66	509.45
175.9816	-38.6542	264.80	423.21	300.07	451.20
175.9974	-38.6542	265.67	367.09	290.38	391.31
176.0132	-38.6542	264.65	314.88	281.63	336.86
176.0289	-38.6542	255.61	267.64	276.35	291.14
176.0447	-38.6542	250.10	218.88	258.45	243.15
176.0605	-38.6542	215.44	185.01	285.01	223.34
176.0763	-38.6542	203.64	184.29	319.21	230.98
176.0921	-38.6542	207.43	185.16	342.97	240.05
176.1079	-38.6542	238.86	201.12	370.74	260.68
176.1237	-38.6542	297.69	198.77	375.25	271.86
176.1395	-38.6542	331.39	215.41	395.46	287.74
176.1553	-38.6542	317.86	250.61	393.34	305.35
176.1711	-38.6542	305.97	283.13	383.12	333.19
176.1868	-38.6542	305.69	327.78	362.97	375.24
176.2026	-38.6542	391.45	287.19	249.52	296.86
176.2184	-38.6542	303.12	440.97	339.70	478.95
176.2342	-38.6542	296.44	512.59	351.24	554.66
176.2500	-38.6542	293.01	575.21	354.72	618.51
175.9500	-38.6426	265.50	529.02	308.38	559.76
175.9658	-38.6426	266.14	469.79	301.51	498.13
175.9816	-38.6426	267.36	409.63	292.47	434.83
175.9974	-38.6426	268.01	351.21	283.15	373.24
176.0132	-38.6426	264.75	296.96	279.54	319.96
176.0289	-38.6426	248.05	243.68	283.98	275.63
176.0447	-38.6426	218.70	195.54	284.92	234.94
176.0605	-38.6426	197.52	180.19	293.43	220.20
176.0763	-38.6426	187.89	169.00	346.26	217.99
176.0921	-38.6426	219.88	190.13	357.57	245.87
176.1079	-38.6426	259.90	208.82	359.68	265.66
176.1237	-38.6426	321.46	225.38	363.71	280.32
176.1395	-38.6426	408.48	218.78	387.83	271.17
176.1553	-38.6426	350.28	266.56	384.32	319.35
176.1711	-38.6426	336.83	299.00	375.53	351.74
176.1868	-38.6426	316.00	356.38	363.34	403.64
176.2026	-38.6426	310.07	408.13	353.08	451.45
176.2184	-38.6426	303.54	464.25	350.87	506.63
176.2342	-38.6426	298.06	523.88	352.77	566.86
176.2500	-38.6426	294.35	582.88	354.31	626.38
175.9500	-38.6311	265.93	528.14	305.81	558.03
175.9658	-38.6311	267.89	466.24	297.12	492.71
175.9816	-38.6311	274.61	397.75	280.55	417.00
175.9974	-38.6311	279.82	326.06	260.01	339.61
176.0132	-38.6311	264.75	286.10	282.38	311.95
176.0289	-38.6311	252.25	230.30	296.81	266.19
176.0447	-38.6311	215.59	189.27	307.39	232.06
176.0605	-38.6311	179.06	152.48	304.42	197.83
176.0763	-38.6311	189.34	170.15	320.60	215.92
176.0921	-38.6311	223.14	179.63	391.20	239.21
176.1079	-38.6311	292.03	206.62	365.28	260.91
176.1237	-38.6311	340.01	237.59	355.61	284.51
176.1395	-38.6311	360.84	261.27	367.25	308.99
176.1553	-38.6311	367.80	282.55	378.24	332.14
176.1711	-38.6311	347.73	324.91	369.96	373.81
176.1868	-38.6311	322.68	380.49	361.79	427.09
176.2026	-38.6311	310.85	432.45	356.68	477.25
176.2184	-38.6311	303.83	485.23	354.15	529.09
176.2342	-38.6311	298.78	539.95	353.70	583.59
176.2500	-38.6311	295.08	595.59	354.00	639.29
