station, lon_dec, lat_dec, elev
WT058a, 418078.54296662676, 5720577.23940563, 470.04999999999995
WT059b, 418042.65955837484, 5726714.0145283025, 487.07000000000005
WT060a, 417729.7667845536, 5724210.446679728, 519.42
WT061a, 417717.73775213095, 5727874.731381693, 464.96
WT062a, 418223.337731999, 5721333.163256973, 482.91999999999996
WT063a, 418230.0083986072, 5727179.267829094, 452.89
WT064b, 417963.5537014541, 5725580.332867368, 507.86
WT064c, 418013.68741234735, 5725556.764919621, 512.89
WT065a, 411893.9644608263, 5724499.582345014, 567.6
WT066a, 417537.02965672145, 5718877.663347608, 436.5
WT068a, 418547.79918421904, 5723292.155486784, 470.73
WT069b, 418541.4302990421, 5726145.79731738, 430.16
WT070a, 418766.4710317815, 5722734.826927522, 529.29
WT070b, 418760.49410809786, 5722731.991644749, 526.93
WT071a, 418273.56301598554, 5723653.365081419, 519.66
WT072a, 418850.0245251635, 5725083.210002049, 444.66
WT073a, 418917.1214155401, 5719661.346472516, 428.2
WT076b, 418853.2311454223, 5726551.265029523, 428.06
WT077a, 418976.15931900364, 5720993.365385154, 445.2
WT078a, 419137.5307340962, 5720260.097739688, 428.1
WT079a, 418963.044575009, 5724498.612145093, 417.69
WT080a, 423447.00551834726, 5713222.7443888, 484.9
WT080b, 423448.5152840876, 5713219.429537556, 481.47
WT081a, 412484.05880632205, 5721141.225019083, 625.92
WT082a, 419299.93148573465, 5724975.900052427, 454.86
WT083b, 419213.8963082337, 5726166.16107949, 413.92
WT084a, 419085.4367692604, 5724070.1435042545, 494.72
WT085a, 419239.59644942026, 5723167.560380405, 437.15
WT086a, 424691.641989802, 5714546.714772602, 527.57
WT087a, 419475.66298345174, 5721631.334258571, 413.89
WT088a, 423603.1824257602, 5723241.236726326, 434.5
WT089a, 419151.0253077212, 5727432.2298778845, 447.42
WT090a, 429358.84845218447, 5717653.322449641, 437.13
WT091a, 419600.9114035727, 5720765.962158898, 407.7
WT092a, 419923.2144412269, 5719354.220228686, 408.24
WT093b, 419789.06955926155, 5726093.935668827, 404.19
WT094a, 427690.5108425742, 5722957.238864547, 400.46
WT095a, 419833.1389508149, 5722449.405394497, 413.53
WT096a, 419977.74756649544, 5723418.144809071, 403.67
WT097a, 419747.7263274522, 5718178.85010002, 393.1
WT098a, 419753.9563792561, 5724006.637725234, 486.65999999999997
WT099a, 420228.964080861, 5722154.948692307, 437.04
WT100a, 419949.0985802871, 5728374.912365734, 499.1
WT101a, 422172.657549318, 5713450.879742358, 443.03
WT101b, 422174.2080297993, 5713443.459279851, 440.0
WT102a, 420343.77272700507, 5720802.155646427, 358.73
WT103a, 419976.2169187657, 5724605.042685083, 388.57
WT104a, 420582.22439057933, 5725535.313591227, 388.72
WT105a, 420738.8301424849, 5719970.641794822, 392.07
WT106a, 420809.36874331767, 5723210.026575915, 400.3
WT107a, 420288.4945273645, 5721501.324470579, 404.66
WT108a, 421368.47555501387, 5727676.850078493, 425.55
WT111a, 420854.20343966363, 5720347.894008017, 395.02
WT112a, 420920.08427514497, 5719038.998017163, 379.45
WT113a, 422843.1366847564, 5728714.417067788, 478.92999999999995
WT114a, 420979.2672219987, 5724812.899682647, 378.72
WT115a, 421004.3574520075, 5723666.745827169, 380.54
