station, lon_dec, lat_dec, z1, z2
WT033b, 416912.60538977507, 5725328.429429545, 461.58000000000004, 213.75000000000006
WT033c, 416912.92612338834, 5725297.580543356, 498.26000000000005, 251.43
WT034a, 417014.3388896448, 5721061.102207436, 279.6, 234.15000000000003
WT035a, 417090.94566452026, 5722130.966816045, 358.84, 146.19
WT036a, 422326.42990259064, 5718260.876544533, 395.78999999999996, 208.56
WT037b, 416969.90404840733, 5726803.159787179, 270.89, 218.57000000000005
WT038a, 417323.68281692045, 5724450.963565607, 374.97, 105.56000000000006
WT039a, 414747.0355020089, 5727686.137800062, 424.47999999999996, 378.5799999999999
WT040a, 425519.58056929434, 5719179.7172773015, 259.16999999999996, -698.85
WT041a, 417321.5521903331, 5723655.885943976, 354.46999999999997, 33.139999999999986
WT042a, 417297.07751977426, 5720322.025766632, 272.66999999999996, 200.20999999999998
WT043a, 417527.3964747786, 5723178.361438779, 367.09000000000003, 118.57
WT044a, 417646.1578237646, 5724999.312238906, 359.0, 79.13999999999999
WT045a, 417835.0409770012, 5729708.2994093215, 219.45999999999998, 187.01
WT046a, 417297.1864903951, 5721613.055272508, 280.33, 211.19999999999993
WT047a, 417424.75452241965, 5719520.852034482, 152.86, 23.829999999999984
WT048a, 417973.78472053783, 5722235.972688958, 415.39, 263.06
WT049a, 415764.5299410925, 5728980.503670319, 227.74, 198.97999999999996
WT050a, 417737.99196787365, 5721063.600174464, 161.62999999999994, 56.90999999999997
WT051a, 425695.6297954181, 5714370.2573346775, 471.93000000000006, -408.42999999999995
WT052a, 426926.6277175017, 5718750.379121295, 194.48000000000002, -149.67000000000007
WT053b, 417672.28039107233, 5726266.960184631, 435.71, 263.03
WT054a, 417903.5666802326, 5719966.939193386, 111.88, 80.92000000000002
WT055a, 424900.88856254175, 5713518.36755008, 362.36, -543.48
WT056a, 424599.4762201141, 5716807.023178402, 382.85, -254.49
WT057b, 428450.8830963054, 5720394.330675009, 181.54000000000002, -404.92999999999995
WT058a, 418078.54296662676, 5720577.23940563, 120.03999999999996, -7.400000000000034
WT059b, 418042.65955837484, 5726714.0145283025, 415.47, 152.41000000000003
WT060a, 417729.7667845536, 5724210.446679728, 340.28, 27.749999999999943
WT061a, 417717.73775213095, 5727874.731381693, 114.37, -76.03000000000003
WT062a, 418223.337731999, 5721333.163256973, 401.11999999999995, 178.40999999999997
WT063a, 418230.0083986072, 5727179.267829094, 330.63, 179.74
WT064b, 417963.5537014541, 5725580.332867368, 428.27, 262.29
WT064c, 418013.68741234735, 5725556.764919621, 454.09999999999997, 276.6
WT065a, 411893.9644608263, 5724499.582345014, 75.06, 64.13999999999999
WT066a, 417537.02965672145, 5718877.663347608, 71.91000000000003, 17.94999999999999
WT068a, 418547.79918421904, 5723292.155486784, 450.8, 272.69
WT069b, 418541.4302990421, 5726145.79731738, 401.26000000000005, 116.17000000000002
WT070a, 418766.4710317815, 5722734.826927522, 460.36999999999995, 286.90999999999997
WT070b, 418760.49410809786, 5722731.991644749, 449.80999999999995, 290.48999999999995
WT071a, 418273.56301598554, 5723653.365081419, 415.71999999999997, 108.44999999999999
WT072a, 418850.0245251635, 5725083.210002049, 384.38, 35.64000000000004
WT073a, 418917.1214155401, 5719661.346472516, -6.590000000000032, -190.19
WT076b, 418853.2311454223, 5726551.265029523, 337.17, -174.09999999999997
WT077a, 418976.15931900364, 5720993.365385154, 353.28, 155.89
WT078a, 419137.5307340962, 5720260.097739688, 265.51, -331.8499999999999
WT079a, 418963.044575009, 5724498.612145093, 402.82, 59.960000000000036
WT080a, 423447.00551834726, 5713222.7443888, 200.17999999999995, -663.0200000000001
WT080b, 423448.5152840876, 5713219.429537556, 258.0, -599.5999999999999
WT081a, 412484.05880632205, 5721141.225019083, 241.67999999999995, 215.89999999999998
WT082a, 419299.93148573465, 5724975.900052427, 399.51, 20.829999999999984
WT083b, 419213.8963082337, 5726166.16107949, 358.57, 222.24000000000004
WT084a, 419085.4367692604, 5724070.1435042545, 464.66, 171.70000000000005
WT085a, 419239.59644942026, 5723167.560380405, 398.96999999999997, 11.620000000000005
