latitude,longitude
-38.698768667,175.901658660
-38.700133963,175.901790998
-38.700581216,175.902564400
-38.700773715,175.903333120
-38.701418620,175.905090589
-38.701795855,175.906405334
-38.702409085,175.907174219
-38.703017725,175.907832432
-38.703047114,175.908813687
-38.702568487,175.909684733
-38.702536545,175.911430808
-38.702669723,175.913067588
-38.702725196,175.914922660
-38.703003689,175.915793424
-38.703940184,175.916220928
-38.704712925,175.916866203
-38.704668315,175.918172156
-38.704626924,175.919587263
-38.704237774,175.920573465
-38.703874021,175.922432623
-38.703490182,175.923640496
-38.702940743,175.924963544
-38.702201862,175.925638390
-38.701441366,175.925658509
-38.700678765,175.925678682
-38.699920591,175.925918370
-38.699002721,175.926603025
-38.698252991,175.927284986
-38.697494602,175.927748393
-38.696479022,175.928331455
-38.695356677,175.928366221
-38.694663745,175.928387685
-38.693621102,175.928419977
-38.692759184,175.928780450
-38.692086275,175.929692885
-38.691434902,175.931387616
-38.690693895,175.933089995
-38.690188742,175.933892485
-38.690323381,175.935452372
-38.690434721,175.936230168
-38.691090401,175.937541131
-38.691080261,175.938621436
-38.690477159,175.939378055
-38.689506562,175.939894092
-38.688813226,175.940762951
-38.687833419,175.941169863
-38.686762771,175.941687436
-38.685708319,175.942887801
-38.685394283,175.944575738
-38.685363897,175.946616232
-38.685961605,175.948337147
-38.686177438,175.949477078
-38.686025698,175.950492538
-38.685786085,175.951619683
-38.685360333,175.952629824
-38.684659460,175.953635252
-38.683763077,175.954297624
-38.682669380,175.954615942
-38.682433434,175.955980156
-38.683023608,175.957245241
-38.683527485,175.958734496
-38.684315755,175.960565981
-38.685169804,175.961597890
-38.686297971,175.962742289
-38.687146268,175.963767637
-38.688624932,175.964792334
-38.689449824,175.965246569
-38.690634582,175.965812827
-38.691170513,175.965498638
-38.691549384,175.964673492
-38.691990442,175.964294528
-38.692481922,175.963980313
-38.692875685,175.963792913
-38.693212992,175.963416516
-38.693555029,175.963230047
-38.694095806,175.963108611
-38.694488589,175.963049130
-38.694880236,175.962989820
-38.695374215,175.963119281
-38.695907784,175.962998865
-38.696435557,175.962754268
-38.696957571,175.962386225
-38.697464681,175.961585046
-38.697831234,175.960970520
-38.698248302,175.960482423
-38.698763138,175.960121346
-38.699215662,175.959329011
-38.699677504,175.958908816
-38.700143163,175.958674447
-38.700556492,175.958316976
-38.700630629,175.957644826
-38.700800494,175.957037393
-38.701211688,175.956683443
-38.701531808,175.956449662
-38.701899535,175.956279093
-38.702219772,175.956107375
-38.702435674,175.955567351
-38.702702898,175.955212596
-38.702978552,175.955162465
-38.703148822,175.954683715
-38.703476733,175.954878736
-38.703673231,175.955310375
-38.703865868,175.955620257
-38.704063605,175.956111306
