Station	longitud	latitud 	elevation
WT016a	176.030433	-38.612344	533.42
WT503a	176.041822	-38.618556	507.36
WT041a	176.050106	-38.631781	503.27
WT104a	176.087778	-38.615144	388.72
WT112a	176.090919	-38.673711	379.45
WT329a	176.060939	-38.666839	450.32
WT145a	176.114253	-38.611078	374.81
WT132a	176.107847	-38.659114	411.54
WT098a	176.078089	-38.628844	486.65999999999997
WT077a	176.068803	-38.655925	445.2
WT165a	176.129375	-38.640239	490.72
WT020a	176.037725	-38.638911	486.1
WT309a	176.118558	-38.679497	450.29
WT036a	176.106997	-38.680847	426.09
WT061a	176.055156	-38.593803	464.96
WT153b	176.120417	-38.619297	341.3
WT333a	176.049044	-38.628217	529.83
WT108a	176.09705	-38.595917	425.55
WT221a	176.200694	-38.677539	383.65
WT057b	176.177622	-38.662139	414.11
WT149a	176.081667	-38.728694	386.63
WT325a	176.081667	-38.722239	377.61
WT324a	176.072222	-38.724136	353.67
WT148a	176.16625	-38.622672	375.74
WT332a	176.045972	-38.607986	472.35
WT083b	176.072136	-38.609336	413.92
WT125a	176.099114	-38.664608	405.71
WT060a	176.054861	-38.626822	519.42
WT172a	176.130781	-38.621481	372.79
WT308a	176.110608	-38.689067	446.87
WT164a	176.125764	-38.628186	422.45
WT133a	176.109375	-38.646892	438.41
WT099a	176.083333	-38.645572	437.04
WT001a	176.003958	-38.624522	592.0
WT328a	176.088836	-38.721389	395.31
WT056a	176.132969	-38.694144	528.36
WT021c	176.038803	-38.616997	493.26
WT113a	176.114097	-38.586697	478.92999999999995
WT040a	176.143803	-38.672842	474.15
WT105a	176.088942	-38.6653	392.07
WT017a	176.035278	-38.643208	492.79999999999995
WT152a	176.118247	-38.627022	404.46
WT502a	176.047308	-38.619181	519.29
WT129a	176.105278	-38.615017	415.0
WT200a	176.158975	-38.637408	438.79
WT191a	176.145661	-38.640447	462.87
WT312a	176.056858	-38.6879	371.78
WT037b	176.046442	-38.603389	481.6
WT168a	176.131928	-38.680847	499.92999999999995
WT304a	176.107136	-38.717275	471.46000000000004
WT021b	176.038681	-38.617019	494.61
WT095a	176.078819	-38.642883	413.53
WT216a	176.068733	-38.682553	357.5
WT076b	176.068039	-38.605833	428.06
