station, lon_dec, lat_dec, z1, z2
WT063a, 418230.0083986072, 5727179.267829094, 377.03999999999996, 291.65999999999997
WT064b, 417963.5537014541, 5725580.332867368, 441.59000000000003, 303.0
WT064c, 418013.68741234735, 5725556.764919621, 468.56, 331.55999999999995
WT066a, 417537.02965672145, 5718877.663347608, 175.07999999999998, -10.349999999999966
WT068a, 418547.79918421904, 5723292.155486784, 461.90000000000003, 333.01
WT069b, 418541.4302990421, 5726145.79731738, 405.70000000000005, 172.96000000000004
WT070a, 418766.4710317815, 5722734.826927522, 464.97999999999996, 298.51
WT070b, 418760.49410809786, 5722731.991644749, 457.67999999999995, 312.74999999999994
WT071a, 418273.56301598554, 5723653.365081419, 430.08, 202.17999999999995
WT072a, 418850.0245251635, 5725083.210002049, 391.07000000000005, 81.11000000000007
WT073a, 418917.1214155401, 5719661.346472516, 56.389999999999986, -220.9500000000001
WT076b, 418853.2311454223, 5726551.265029523, 374.85, 246.5
WT077a, 418976.15931900364, 5720993.365385154, 366.33, 187.14
WT078a, 419137.5307340962, 5720260.097739688, 289.26, -184.67999999999995
WT079a, 418963.044575009, 5724498.612145093, 403.69, 88.13999999999999
WT080a, 423447.00551834726, 5713222.7443888, 233.52999999999997, -513.12
WT080b, 423448.5152840876, 5713219.429537556, 302.04, -380.65
WT082a, 419299.93148573465, 5724975.900052427, 405.20000000000005, 100.84000000000003
WT083b, 419213.8963082337, 5726166.16107949, 359.19, 246.56
WT084a, 419085.4367692604, 5724070.1435042545, 452.25, 247.22000000000003
WT085a, 419239.59644942026, 5723167.560380405, 401.26, 60.40999999999997
WT086a, 424691.641989802, 5714546.714772602, 443.49000000000007, 349.12
WT087a, 419475.66298345174, 5721631.334258571, 374.89, 208.2
WT088a, 423603.1824257602, 5723241.236726326, 13.410000000000025, -191.93999999999994
WT090a, 429358.84845218447, 5717653.322449641, 205.24, 79.0
WT091a, 419600.9114035727, 5720765.962158898, 350.68, 116.32999999999998
WT092a, 419923.2144412269, 5719354.220228686, 209.74, 86.57
WT093b, 419789.06955926155, 5726093.935668827, 372.56, 306.55
WT094a, 427690.5108425742, 5722957.238864547, 50.10999999999996, -176.33999999999997
WT095a, 419833.1389508149, 5722449.405394497, 379.46, -253.32000000000005
WT096a, 419977.74756649544, 5723418.144809071, 305.99, 40.700000000000045
WT098a, 419753.9563792561, 5724006.637725234, 437.60999999999996, 234.14999999999995
