station, lon_dec, lat_dec, z1, z2
WT055a, 424900.88856254175, 5713518.36755008, 346.07000000000005, -548.9100000000001
WT056a, 424599.4762201141, 5716807.023178402, 373.95000000000005, -267.26
WT057b, 428450.8830963054, 5720394.330675009, 176.73000000000002, -419.26
WT058a, 418078.54296662676, 5720577.23940563, 74.13999999999993, -83.97000000000003
WT059b, 418042.65955837484, 5726714.0145283025, 401.59000000000003, -148.0
WT060a, 417729.7667845536, 5724210.446679728, 334.78999999999996, 18.72999999999996
WT062a, 418223.337731999, 5721333.163256973, 396.68999999999994, 162.70999999999998
WT063a, 418230.0083986072, 5727179.267829094, 300.32, 167.72000000000003
WT064b, 417963.5537014541, 5725580.332867368, 424.75, 252.49
WT064c, 418013.68741234735, 5725556.764919621, 450.4, 262.15999999999997
WT066a, 417537.02965672145, 5718877.663347608, 5.610000000000014, -84.03999999999996
WT068a, 418547.79918421904, 5723292.155486784, 445.28000000000003, 256.86
WT069b, 418541.4302990421, 5726145.79731738, 400.42, 100.0
WT070a, 418766.4710317815, 5722734.826927522, 459.77, 282.57
WT070b, 418760.49410809786, 5722731.991644749, 449.02, 279.64
WT071a, 418273.56301598554, 5723653.365081419, 411.53, 99.21999999999997
WT072a, 418850.0245251635, 5725083.210002049, 382.63, 26.71999999999997
WT073a, 418917.1214155401, 5719661.346472516, -57.77000000000004, -292.28000000000003
WT076b, 418853.2311454223, 5726551.265029523, 356.15999999999997, 153.29000000000002
WT077a, 418976.15931900364, 5720993.365385154, 348.83, 139.59999999999997
WT078a, 419137.5307340962, 5720260.097739688, 253.66000000000003, -357.5400000000001
WT079a, 418963.044575009, 5724498.612145093, 402.61, 50.72000000000003
WT080a, 423447.00551834726, 5713222.7443888, 165.10999999999996, -683.83
WT080b, 423448.5152840876, 5713219.429537556, 238.56000000000003, -593.03
WT082a, 419299.93148573465, 5724975.900052427, 397.78000000000003, 3.9600000000000364
WT083b, 419213.8963082337, 5726166.16107949, 339.13, 167.45
WT084a, 419085.4367692604, 5724070.1435042545, 435.62, 146.14
WT085a, 419239.59644942026, 5723167.560380405, 398.09, -12.600000000000023
WT086a, 424691.641989802, 5714546.714772602, 366.33000000000004, 30.640000000000043
WT087a, 419475.66298345174, 5721631.334258571, 372.38, 196.91
WT088a, 423603.1824257602, 5723241.236726326, -159.55999999999995, -382.03999999999996
WT090a, 429358.84845218447, 5717653.322449641, 116.48000000000002, -30.350000000000023
WT091a, 419600.9114035727, 5720765.962158898, 333.77, -31.27000000000004
WT092a, 419923.2144412269, 5719354.220228686, 113.25, 21.29000000000002
WT093b, 419789.06955926155, 5726093.935668827, 362.53, 17.430000000000007
WT094a, 427690.5108425742, 5722957.238864547, -78.87, -469.33
WT095a, 419833.1389508149, 5722449.405394497, 377.04999999999995, -344.24
WT096a, 419977.74756649544, 5723418.144809071, 291.90000000000003, -41.39999999999998
WT098a, 419753.9563792561, 5724006.637725234, 433.97999999999996, 218.59999999999997
WT099a, 420228.964080861, 5722154.948692307, 365.53000000000003, 62.38000000000005
WT101a, 422172.657549318, 5713450.879742358, 2.849999999999966, -657.0799999999999
WT101b, 422174.2080297993, 5713443.459279851, 32.48000000000002, -702.3499999999999
WT102a, 420343.77272700507, 5720802.155646427, 208.57000000000002, -147.81999999999994
WT103a, 419976.2169187657, 5724605.042685083, 349.65, -27.879999999999995
WT104a, 420582.22439057933, 5725535.313591227, 328.21000000000004, 37.13000000000005
WT105a, 420738.8301424849, 5719970.641794822, 352.82, 199.28
WT106a, 420809.36874331767, 5723210.026575915, 255.44, -107.93
WT107a, 420288.4945273645, 5721501.324470579, 353.02000000000004, 132.12
WT108a, 421368.47555501387, 5727676.850078493, -246.57, -361.22999999999996
