X	Y
168.5231825	-45.81258149
168.9856895	-45.030242
169.299885	-46.0990115
168.788678	-45.984605
170.2344185	-45.4913155
169.7025755	-46.209084
169.6810059	-46.1151265
169.664258	-46.0267995
170.021628	-46.029543
169.3372735	-45.29042306
173.5016345	-42.3922965
169.1890305	-45.122411
169.473073	-45.17634001
174.312537	-36.349462
170.664841	-45.5855525
170.697809	-45.54851555
170.464593	-45.394275
170.652619	-45.455027
170.837368	-45.22744799
169.912392	-44.379325
170.738825	-44.899137
170.1792415	-44.4605135
175.847608	-38.20720703
171.9415315	-43.4342635
171.055527	-44.2753225
170.9633448	-44.17018826
171.5399475	-43.66250999
169.4284535	-45.278184
171.773196	-43.10716344
172.5326726	-43.58976654
175.1657801	-39.97908208
172.771747	-43.0158621
172.6953135	-42.837282
172.762431	-42.66254348
171.9035015	-41.785876
172.814946	-40.9492955
173.457802	-41.9638715
173.964718	-41.44060442
173.778513	-41.79641652
173.067955	-41.4177495
172.946081	-41.0505795
173.9068565	-40.82880675
174.7165795	-41.267663
174.431669	-39.5387105
174.265647	-36.01894401
174.1802595	-41.7489955
175.8458115	-40.289134
176.3189665	-40.022083
176.6717385	-39.684169
173.8724825	-39.33773748
174.182352	-39.2062175
174.2891165	-39.3947235
176.7161235	-38.0022695
174.229802	-39.3514765
173.935739	-35.541564
169.6494755	-45.1248325
173.5497085	-35.2439245
174.035674	-35.62615802
175.7460925	-39.29102356
173.184898	-34.923958
173.804317	-35.2005735
176.263367	-38.577789
170.0711525	-45.7607123
175.6844865	-38.83974151
174.367927	-39.52491851
174.348201	-39.256406
174.4675465	-39.278895
175.635742	-38.2591185
176.692085	-39.41669253
175.8537105	-38.51456099
176.05539	-38.51586
171.1136837	-44.39351681
176.7218254	-37.99904503
176.947073	-38.0195915
175.5970636	-37.93194005
175.465096	-37.96303552
175.4865295	-37.8727265
169.406672	-46.0755495
175.485655	-37.725034
175.340077	-37.61808999
175.1101305	-37.398384
175.2173921	-37.50688244
175.5826665	-37.5322765
172.836863	-41.46075739
174.855531	-37.16495201
174.6761175	-36.680056
175.4995635	-37.27133449
175.6318995	-37.11872699
170.4278601	-45.37953952
175.545436	-36.828547
176.343604	-37.9226815
176.2690015	-37.7750925
169.843886	-44.5274105
177.3029367	-38.80337354
177.559723	-38.4190865
170.228628	-44.1450185
177.1696848	-38.03742843
177.173311	-38.0360365
178.3082755	-38.13138657
177.3968435	-37.9935245
178.3303385	-37.829158
174.5536175	-36.410495
174.3703012	-35.84200103
174.438419	-35.7536015
167.847049	-46.021637
167.8579129	-45.9595452
168.3065755	-46.3812145
168.036507	-45.943953
168.5196596	-45.99811806
167.670096	-45.7093625
167.7588705	-45.615568
169.951635	-45.378705
167.9563855	-45.5573785
172.828977	-41.4014385
167.7926055	-45.4769335
167.8035765	-45.25120407
168.260731	-45.6890475
169.0496025	-45.8741155
168.906457	-46.075921
169.5412625	-46.168624
169.4440085	-46.195876
169.745176	-46.17224401
169.5870915	-46.1074085
169.9781106	-45.8097155
169.967797	-45.7679825
169.363555	-45.461081
169.310028	-45.425736
168.757811	-45.061136
168.7933075	-45.0115275
171.5938895	-42.98747646
169.2833779	-45.19954795
170.12917	-45.6236635
170.1405105	-45.730244
170.299543	-45.72616
170.5426993	-45.77389046
170.5635094	-45.88564954
170.1758395	-45.598232
170.5773885	-45.6735375
170.232669	-45.2127905
170.3138375	-45.325477
170.2151335	-45.083612
170.4864295	-45.26534849
170.874845	-45.1185135
169.2510925	-44.99690155
169.2846985	-44.77038949
169.2459775	-44.508452
169.470492	-44.7811045
170.3688009	-44.67944739
170.1286595	-44.58543199
170.3415775	-44.62396291
170.1415895	-44.321159
170.1353795	-44.273742
171.127147	-44.80076
171.092691	-44.73546749
171.1995255	-44.44015799
171.2292645	-44.37057902
174.0567681	-41.55752258
170.2048095	-44.195667
170.2324695	-44.192963
170.3255725	-44.167342
174.0316325	-41.5620865
170.396801	-44.030194
170.32405	-43.9752965
170.3530535	-44.1227655
170.7123705	-44.2091675
170.542625	-44.109682
170.7708775	-44.060509
171.0226781	-43.86167247
169.850384	-43.50260448
170.7466135	-42.9162775
171.037657	-42.702848
169.0730125	-45.845901
171.4120765	-42.746718
171.289545	-42.4637525
171.654046	-43.961342
172.149276	-43.7321705
172.9256005	-43.7500195
171.705248	-43.61775845
176.146601	-40.124706
171.8686835	-43.06867147
172.314682	-43.4791565
172.5472085	-43.5332515
174.1713505	-39.54091899
172.625078	-43.35460199
172.4820265	-42.597053
172.93627	-42.654614
173.3650559	-42.62356005
173.5936845	-42.4245875
171.992329	-41.83995502
172.7900915	-41.05781351
173.318972	-42.04698599
173.132888	-41.699708
173.2202615	-41.70316965
173.8983395	-41.49302605
173.9924131	-41.51024912
167.6210431	-45.98269099
174.0848345	-41.64283254
172.983496	-41.193272
173.05351	-41.27132852
173.1306955	-41.30693751
173.483889	-41.175126
173.8123625	-41.449861
173.7115945	-41.311998
173.8462802	-41.23175816
173.9609505	-41.337999
174.008883	-41.166837
174.116219	-41.1657745
174.201679	-41.25568747
173.70614	-41.0859785
173.9266715	-40.934325
174.1768721	-41.05580023
172.5689531	-40.60622787
172.7216745	-40.77604645
173.8934564	-40.76540314
174.661699	-41.29386
174.825157	-41.2290865
174.8479965	-41.17499699
175.006804	-41.19206988
174.906989	-41.1736695
174.8939396	-41.15151052
174.927713	-41.17495499
174.9520295	-41.0458475
175.0921035	-40.832325
175.5991625	-41.00642199
175.973066	-40.94705457
175.213794	-40.70431804
175.743682	-40.551803
175.7178144	-40.54557255
175.731479	-40.1078305
174.8229575	-39.805232
174.9577935	-39.8483295
174.342901	-39.5904725
174.3455785	-39.555685
174.6177895	-39.42305601
175.287016	-39.84850602
175.14576	-39.518146
175.333055	-39.421112
175.5852964	-39.62321801
175.5673199	-39.48269589
175.7791865	-40.524551
176.1204869	-40.49186192
175.9470244	-40.23883156
176.3659434	-40.4345135
176.091363	-40.1428985
172.5187105	-42.9986235
176.5656505	-40.190842
176.397901	-39.976957
176.705385	-40.01624994
176.46808	-39.455978
176.814931	-39.484301
176.814121	-39.484374
176.8285595	-39.52851807
176.8402105	-39.4008975
173.9211854	-39.39830321
173.9122575	-39.15630246
174.2682144	-39.359195
174.139647	-39.063359
174.1375115	-39.05995945
174.296758	-39.1667925
174.3198741	-39.11669989
174.3215095	-36.080894
174.2633815	-35.8100575
174.293164	-35.80840648
167.9556005	-45.939845
174.2908555	-35.734232
174.280763	-35.784733
175.664692	-38.04714732
173.834909	-35.442672
174.2945145	-35.20263151
173.455247	-35.156423
174.654222	-39.3251565
174.3562705	-39.228412
174.9900865	-38.90691003
175.3307475	-39.167558
175.3225275	-39.150244
175.3693216	-39.12206004
175.1327598	-38.93241255
175.064365	-38.78591051
168.320252	-46.3231795
175.2800395	-38.8321255
175.6531525	-38.93027302
175.7378525	-38.927647
175.7158865	-38.6993975
174.799123	-38.206856
174.781805	-38.191676
175.2154045	-38.7052575
176.2467585	-38.19542851
175.6837595	-38.69424603
175.0926236	-38.32248055
175.19483	-38.2097765
169.0753645	-45.836167
175.635588	-38.3164225
175.693696	-38.321348
175.6157125	-38.11532851
175.694056	-38.0819695
175.7580085	-38.01756799
175.8125045	-39.0427985
176.820636	-39.3862805
176.7802316	-39.13408504
176.8438545	-39.37501259
178.250653	-37.9674435
176.1243275	-38.693614
175.825114	-38.4545435
175.762923	-38.387347
175.7632685	-38.3870475
175.8190538	-38.19349988
176.1500291	-38.09160998
176.3581805	-38.0818665
176.3666765	-38.06096357
176.9119305	-38.61343
176.490736	-38.04510203
176.8214675	-38.120506
176.7769015	-38.03260947
176.7407485	-38.0927825
176.741445	-38.0927945
176.775756	-38.03292047
176.9362185	-38.0015375
176.8969465	-37.9808915
174.9401155	-37.61705401
175.3468595	-37.798547
175.297534	-37.69316904
175.6372115	-37.6107045
174.745268	-37.28425547
174.775444	-37.17865698
174.9678535	-37.1981745
174.999687	-37.24321301
175.0008105	-37.18682613
168.3794853	-46.35706848
175.036351	-37.253122
174.692912	-38.493472
174.9803335	-37.1616615
174.886117	-37.115741
174.6514915	-36.872518
174.6645245	-36.87280008
174.544379	-36.663532
174.6215605	-36.6736575
174.727722	-36.9154485
175.5703	-37.16819201
175.621289	-37.190781
176.02168	-37.6874235
176.054275	-37.81281902
175.750083	-37.639881
175.832754	-37.4064745
176.888422	-37.9737905
175.8826395	-37.27140049
175.7462165	-36.71702402
177.2251989	-38.94919492
177.29799	-39.008421
177.4245956	-38.78877949
177.366861	-38.74725354
177.4738665	-38.8100359
177.558051	-38.8393875
177.840472	-39.17257437
177.224264	-38.0265195
177.4623315	-38.0848005
177.9688705	-38.601393
177.98295	-38.641235
177.6037504	-37.8528189
177.677801	-37.7725805
177.894165	-37.6369195
174.3757018	-36.344528
174.530788	-36.371232
174.53717	-36.2837615
174.5094125	-36.123267
174.4070455	-35.877831
168.386889	-46.329088
168.4102015	-46.37217153
168.1380775	-45.813304
168.419763	-45.7421365
167.996861	-45.5646415
167.727917	-45.42902599
167.933977	-45.3640835
168.109536	-45.624317
175.3369635	-38.1696065
168.0778295	-45.431181
168.4380855	-45.70493
168.597204	-45.54083099
168.567375	-45.5316615
168.6001	-45.51981951
169.0586805	-45.92236001
168.6985385	-45.018315
168.971038	-46.59277649
168.8464294	-46.54160848
168.862825	-46.481008
168.9300905	-46.496396
169.1620895	-46.618613
169.151704	-46.514969
169.45922	-46.51826397
169.5010585	-46.501357
169.5567351	-46.55085456
169.577064	-46.5101295
170.1738375	-44.192418
169.5906326	-46.48872395
169.6525505	-46.4583345
168.8016845	-46.354425
168.7370745	-46.2441905
168.9915215	-46.4010225
168.9141485	-46.14489848
169.326488	-46.104836
169.308391	-46.0330565
169.2624074	-45.77391596
169.7711885	-46.2633125
169.515176	-46.1035725
169.5499045	-46.18330352
169.450124	-45.9825725
169.516264	-46.1664405
169.4805201	-46.1472093
169.60102	-46.1698515
169.525186	-46.10024853
169.6255835	-46.14468697
169.7660685	-46.24767449
169.7013395	-46.2218615
169.722447	-46.096811
169.8638145	-46.29641651
169.8026979	-46.19750971
169.4394165	-45.9958385
169.599572	-46.05068801
169.658325	-45.8900205
170.077148	-45.79236751
169.7294645	-46.236716
169.445355	-45.609833
169.354117	-45.6197425
169.3830495	-45.5540805
169.2371999	-45.06574395
169.312621	-45.08756747
169.434854	-45.6638595
169.4533895	-45.62987148
170.058447	-45.691469
170.015221	-45.64169
170.0843595	-45.65902547
170.1342085	-45.62312859
169.857286	-45.432966
169.788474	-45.1133295
169.889964	-45.3021935
169.932826	-45.02845048
169.82962	-45.040711
169.959193	-45.0575065
170.06311	-45.1424455
170.0601665	-45.123694
170.0025495	-45.10055699
170.1325825	-45.1016975
170.131786	-45.16295198
170.3623975	-45.90947817
170.2378936	-45.733005
170.269382	-45.7584565
170.206379	-45.737269
170.940008	-45.079658
170.424427	-45.85067701
170.4271919	-45.85100601
170.3591034	-45.71145007
170.4362995	-45.8746245
170.4733484	-45.852205
170.5849945	-45.81448496
170.4895695	-45.8495685
170.5404885	-45.8299715
170.5426775	-45.8287535
170.260264	-45.69529499
170.162119	-45.5070665
170.3164495	-45.427008
170.315486	-45.4535165
170.595202	-45.645055
170.5406675	-45.49879103
170.5825565	-45.4248185
170.2771375	-45.2387265
170.3546045	-45.362184
170.330546	-45.292906
170.2224845	-45.19043151
170.547642	-45.3122355
170.8199935	-45.3014635
171.016963	-44.305869
170.86641	-45.21663416
170.948076	-45.0552155
170.9358325	-45.0823945
169.8136815	-44.23945281
170.9554762	-45.068422
171.0062605	-45.036141
168.3575225	-44.812461
168.728605	-44.9836425
168.3843985	-44.7340725
169.0009935	-44.6829435
169.193152	-44.71016351
169.1051355	-44.761944
169.195378	-44.664097
169.308667	-44.69605099
168.903894	-44.579422
169.1848405	-44.4203765
169.7518255	-44.923827
169.848899	-44.947826
169.8665035	-44.9192355
169.7822655	-44.9414025
169.9843065	-45.014838
169.488252	-44.6638515
170.119516	-44.624442
169.856638	-44.378823
170.0328465	-44.333187
169.821282	-44.16444998
169.859889	-44.1452065
170.044578	-44.28028326
170.0397035	-44.3074025
170.0952824	-44.29930489
170.1318679	-44.20786098
170.126722	-43.93785655
170.156679	-43.885071
170.4201205	-44.69086701
170.6073695	-44.865122
170.7908295	-44.96531203
170.7577355	-44.92337653
170.773785	-44.852676
169.5757305	-45.887873
170.8184135	-44.8627895
170.5153345	-44.8198585
170.1412325	-44.5673465
170.307041	-44.645356
170.1678111	-44.34180259
170.2607855	-44.387091
170.6695995	-44.54166343
170.7027184	-44.52405891
